FID,disso,ORIG_FID,POINT_X,POINT_Y
89,0,0,737488.004700000050000,4648406.668999999800000
90,0,0,737488.004700000050000,4648376.668999999800000
91,0,0,737458.004700000050000,4648376.668999999800000
92,0,0,737294.117980999990000,4648180.553430000300000
93,0,0,737278.004700000050000,4648166.668999999800000
94,0,0,737253.497864000030000,4648131.175379999900000
95,0,0,737158.004700000050000,4648106.668999999800000
96,0,0,737091.574035999950000,4648093.257899999600000
97,0,0,737057.926575000050000,4648026.747120000400000
98,0,0,737038.004700000050000,4648016.668999999800000
99,0,0,737038.004700000050000,4647986.668999999800000
100,0,0,737008.004700000050000,4647986.668999999800000
101,0,0,736977.037903000020000,4647941.818690000100000
102,0,0,736870.250793999990000,4647914.416039999600000
103,0,0,736833.497864000030000,4647861.175379999900000
104,0,0,736690.250793999990000,4647824.416039999600000
105,0,0,736597.789855999990000,4647752.750389999700000
106,0,0,736541.422668999990000,4647765.386500000000000
107,0,0,736425.758605999990000,4647668.921959999900000
108,0,0,736360.250793999990000,4647644.416039999600000
109,0,0,736323.497864000030000,4647591.175379999900000
110,0,0,736180.250793999990000,4647554.416039999600000
111,0,0,736108.004700000050000,4647506.668999999800000
112,0,0,736006.974427000040000,4647489.505610000300000
113,0,0,735898.004700000050000,4647446.668999999800000
114,0,0,735898.004700000050000,4647416.668999999800000
115,0,0,735718.004700000050000,4647416.668999999800000
116,0,0,735688.004700000050000,4647416.668999999800000
117,0,0,735593.756653000020000,4647294.563740000100000
118,0,0,735453.585755000010000,4647315.277090000000000
119,0,0,735344.938293999990000,4647249.737700000400000
120,0,0,735161.071105999990000,4647223.600300000000000
121,0,0,735134.938293999990000,4647189.737700000400000
122,0,0,735118.004700000050000,4647176.668999999800000
123,0,0,735118.004700000050000,4647146.668999999800000
124,0,0,735058.004700000050000,4647146.668999999800000
125,0,0,735028.004700000050000,4647146.668999999800000
126,0,0,734968.004700000050000,4647116.668999999800000
127,0,0,734951.100403000020000,4647052.599940000100000
128,0,0,734834.308410999950000,4646978.448169999800000
129,0,0,734762.150207999980000,4646992.706140000400000
130,0,0,734680.529114000030000,4646864.144129999900000
131,0,0,734655.480285999950000,4646769.193869999600000
132,0,0,734583.014466000020000,4646717.251890000000000
133,0,0,734617.760558999960000,4646541.420280000200000
134,0,0,734518.004700000050000,4646486.668999999800000
135,0,0,734518.004700000050000,4646456.668999999800000
136,0,0,734504.938293999990000,4646379.738149999600000
137,0,0,734436.896302000040000,4646287.972099999900000
138,0,0,734452.291808999960000,4646183.864740000100000
139,0,0,734414.938293999990000,4646049.738149999600000
140,0,0,734338.707825000050000,4645923.376149999900000
141,0,0,734359.113097999940000,4645785.333859999700000
142,0,0,734278.004700000050000,4645676.668999999800000
143,0,0,734278.004700000050000,4645526.668999999800000
144,0,0,734248.004700000050000,4645526.668999999800000
145,0,0,734197.877746999960000,4645447.879630000300000
146,0,0,734206.256653000020000,4645380.511470000300000
147,0,0,734174.659972999940000,4645270.010060000200000
148,0,0,734088.673644999970000,4645152.289730000300000
149,0,0,734122.335755000010000,4644881.668999999800000
150,0,0,734091.237121999960000,4644631.628410000400000
151,0,0,734141.349427000040000,4644400.010060000200000
152,0,0,734174.659972999940000,4644343.327940000200000
153,0,0,734188.004700000050000,4644296.668999999800000
154,0,0,734188.004700000050000,4644236.668999999800000
155,0,0,734195.636535999950000,4644094.299920000100000
156,0,0,734270.372864000030000,4644019.038080000300000
157,0,0,734285.636535999950000,4643914.299920000100000
158,0,0,734360.372864000030000,4643839.038080000300000
159,0,0,734368.004700000050000,4643696.668999999800000
160,0,0,734368.004700000050000,4643666.668999999800000
161,0,0,734398.004700000050000,4643666.668999999800000
162,0,0,734398.004700000050000,4643606.668999999800000
163,0,0,734428.004700000050000,4643606.668999999800000
164,0,0,734458.004700000050000,4643606.668999999800000
165,0,0,734458.004700000050000,4643546.668999999800000
166,0,0,734458.004700000050000,4643516.668999999800000
167,0,0,734458.004700000050000,4643396.668999999800000
168,0,0,734488.004700000050000,4643396.668999999800000
169,0,0,734488.004700000050000,4643366.668999999800000
170,0,0,734638.004700000050000,4643246.668999999800000
171,0,0,734698.004700000050000,4643246.668999999800000
172,0,0,734698.004700000050000,4643216.668999999800000
173,0,0,734728.004700000050000,4643216.668999999800000
174,0,0,734728.004700000050000,4643156.668999999800000
175,0,0,734728.004700000050000,4643126.668999999800000
176,0,0,734728.004700000050000,4643036.668999999800000
177,0,0,734700.114075000050000,4642923.089590000000000
178,0,0,734728.004700000050000,4642856.668999999800000
179,0,0,734767.848450000050000,4642836.512749999800000
180,0,0,734788.004700000050000,4642796.668999999800000
181,0,0,734818.004700000050000,4642796.668999999800000
182,0,0,734818.004700000050000,4642766.668999999800000
183,0,0,734818.004700000050000,4642736.668999999800000
184,0,0,734825.636535999950000,4642624.299920000100000
185,0,0,734870.372864000030000,4642579.038080000300000
186,0,0,734878.004700000050000,4642526.668999999800000
187,0,0,734878.004700000050000,4642346.668999999800000
188,0,0,734908.004700000050000,4642346.668999999800000
189,0,0,734908.004700000050000,4642286.668999999800000
190,0,0,734908.004700000050000,4642196.668999999800000
191,0,0,734908.004700000050000,4642166.668999999800000
192,0,0,734938.004700000050000,4642166.668999999800000
193,0,0,734968.004700000050000,4642166.668999999800000
194,0,0,734968.004700000050000,4642136.668999999800000
195,0,0,734968.004700000050000,4642046.668999999800000
196,0,0,734996.906067000000000,4641870.735770000100000
197,0,0,734963.053528000020000,4641641.668999999800000
198,0,0,734986.930480999990000,4641480.062859999900000
199,0,0,734924.938293999990000,4641399.738149999600000
200,0,0,734908.004700000050000,4641386.668999999800000
201,0,0,734908.004700000050000,4641356.668999999800000
202,0,0,734887.614075000050000,4641112.652580000500000
203,0,0,734831.891418999990000,4641012.785029999900000
204,0,0,734782.496888000050000,4640902.109670000200000
205,0,0,734629.450012000040000,4640856.030270000000000
206,0,0,734518.004700000050000,4640726.668999999800000
207,0,0,734503.854308999960000,4640710.824880000200000
208,0,0,734414.454894999970000,4640630.950620000300000
209,0,0,734404.010558999960000,4640455.818479999900000
210,0,0,734477.413880000010000,4640320.734249999700000
211,0,0,734470.587707999980000,4640206.159660000400000
212,0,0,734516.320130000010000,4640154.981680000200000
213,0,0,734577.521302000040000,4640100.292659999800000
214,0,0,734561.188293999990000,4639826.313780000400000
215,0,0,734578.004700000050000,4639556.668999999800000
216,0,0,734564.938293999990000,4639419.738149999600000
217,0,0,734531.071105999990000,4639363.599849999900000
218,0,0,734462.677552000040000,4639103.031609999900000
219,0,0,734321.071105999990000,4639063.599849999900000
220,0,0,734230.983216000020000,4639009.259639999800000
221,0,0,734098.004700000050000,4638986.668999999800000
222,0,0,733990.250793999990000,4638974.415579999800000
223,0,0,733918.004700000050000,4638956.668999999800000
224,0,0,733904.938293999990000,4638909.737239999700000
225,0,0,733764.137512000040000,4638870.530690000400000
226,0,0,733738.004700000050000,4638716.668999999800000
227,0,0,733755.846496999960000,4638464.291070000300000
228,0,0,733746.676575000050000,4638310.398249999600000
229,0,0,733914.650207999980000,4638320.410459999900000
230,0,0,734128.004700000050000,4638056.668999999800000
231,0,0,734238.571105999990000,4638028.294979999800000
232,0,0,734325.758605999990000,4637894.415579999800000
233,0,0,734350.250793999990000,4637798.922419999700000
234,0,0,734416.710755000010000,4637713.183280000500000
235,0,0,734403.908019999970000,4637656.076349999800000
236,0,0,734440.250793999990000,4637558.922419999700000
237,0,0,734505.758605999990000,4637474.415579999800000
238,0,0,734518.004700000050000,4637336.668999999800000
239,0,0,734497.233216000020000,4637243.341970000400000
240,0,0,734522.882630000010000,4636991.668999999800000
241,0,0,734501.481263000050000,4636781.668999999800000
242,0,0,734531.422668999990000,4636487.843320000000000
243,0,0,734441.364075000050000,4636362.712700000000000
244,0,0,734455.485168999990000,4636224.215389999600000
245,0,0,734338.004700000050000,4636076.668999999800000
246,0,0,734322.199035999950000,4635914.728690000300000
247,0,0,734264.659972999940000,4635820.010060000200000
248,0,0,734087.897278000020000,4635678.462209999600000
249,0,0,734121.178528000020000,4635410.919490000200000
250,0,0,734084.659972999940000,4635160.010060000200000
251,0,0,734020.997864000030000,4635072.846370000400000
252,0,0,734039.967591000020000,4634920.310359999500000
253,0,0,733914.679505000010000,4634819.986870000100000
254,0,0,733874.659972999940000,4634770.010060000200000
255,0,0,733858.004700000050000,4634756.668999999800000
256,0,0,733878.453918999990000,4634593.040459999800000
257,0,0,733858.004700000050000,4634576.668999999800000
258,0,0,733837.848450000050000,4634536.825249999800000
259,0,0,733798.004700000050000,4634516.668999999800000
260,0,0,733798.004700000050000,4634486.668999999800000
261,0,0,733768.004700000050000,4634486.668999999800000
262,0,0,733789.464660999950000,4634053.296810000200000
263,0,0,733768.004700000050000,4633826.668999999800000
264,0,0,733768.004700000050000,4633796.668999999800000
265,0,0,733874.791808999960000,4633608.844899999900000
266,0,0,733858.912903000020000,4633411.338189999600000
267,0,0,733918.004700000050000,4633316.668999999800000
268,0,0,733978.004700000050000,4633316.668999999800000
269,0,0,733978.004700000050000,4633286.668999999800000
270,0,0,733944.415832999980000,4633082.204280000200000
271,0,0,734032.848450000050000,4632962.933039999600000
272,0,0,734081.071105999990000,4632789.737239999700000
273,0,0,734114.938293999990000,4632733.600759999800000
274,0,0,734128.004700000050000,4632596.668999999800000
275,0,0,734145.714660999950000,4632454.879449999900000
276,0,0,734098.004700000050000,4632416.668999999800000
277,0,0,734068.004700000050000,4632416.668999999800000
278,0,0,734051.349427000040000,4632283.327940000200000
279,0,0,734038.004700000050000,4632116.668999999800000
280,0,0,734038.004700000050000,4632086.668999999800000
281,0,0,734038.004700000050000,4632056.668999999800000
282,0,0,734024.586730999990000,4631990.238339999700000
283,0,0,733978.004700000050000,4631966.668999999800000
284,0,0,733964.938293999990000,4631859.737239999700000
285,0,0,733901.071105999990000,4631773.600759999800000
286,0,0,733874.938293999990000,4631709.737239999700000
287,0,0,733810.602355999990000,4631622.958060000100000
288,0,0,733822.921692000000000,4631539.610279999700000
289,0,0,733721.071105999990000,4631413.600759999800000
290,0,0,733694.938293999990000,4631349.737239999700000
291,0,0,733631.071105999990000,4631263.600759999800000
292,0,0,733604.938293999990000,4631169.737239999700000
293,0,0,733571.071105999990000,4631083.600759999800000
294,0,0,733544.938293999990000,4630929.737239999700000
295,0,0,733469.513489000030000,4630828.000180000400000
296,0,0,733489.113097999940000,4630695.365899999600000
297,0,0,733393.517394999970000,4630566.437680000400000
298,0,0,733364.938293999990000,4630299.737239999700000
299,0,0,733331.071105999990000,4630243.600759999800000
300,0,0,733318.004700000050000,4630166.668999999800000
301,0,0,733307.926575000050000,4629996.747120000400000
302,0,0,733288.004700000050000,4629956.668999999800000
303,0,0,733305.758605999990000,4629884.415579999800000
304,0,0,733318.004700000050000,4629806.668999999800000
305,0,0,733318.004700000050000,4629656.668999999800000
306,0,0,733318.004700000050000,4629596.668999999800000
307,0,0,733318.004700000050000,4629566.668999999800000
308,0,0,733298.639466000020000,4629481.444389999800000
309,0,0,733331.349427000040000,4629220.010060000200000
310,0,0,733398.204894999970000,4629128.481130000200000
311,0,0,733389.269347999940000,4629056.668999999800000
312,0,0,733398.204894999970000,4628984.856870000300000
313,0,0,733331.349427000040000,4628893.327940000200000
314,0,0,733318.004700000050000,4628666.668999999800000
315,0,0,733349.498841000020000,4628538.418270000300000
316,0,0,733318.004700000050000,4628516.668999999800000
317,0,0,733318.004700000050000,4628336.668999999800000
318,0,0,733318.004700000050000,4628276.668999999800000
319,0,0,733343.038880000010000,4628064.687800000400000
320,0,0,733303.854308999960000,4628020.824880000200000
321,0,0,733269.533019999970000,4627990.165699999800000
322,0,0,733213.854308999960000,4627750.824880000200000
323,0,0,733182.155091000020000,4627692.513120000300000
324,0,0,733153.854308999960000,4627600.824880000200000
325,0,0,733092.155091000020000,4627512.513120000300000
326,0,0,733063.854308999960000,4627450.824880000200000
327,0,0,733000.426575000050000,4627360.021049999600000
328,0,0,733005.641418999990000,4627272.427059999700000
329,0,0,732921.925597999940000,4627197.630300000300000
330,0,0,732898.004700000050000,4626866.668999999800000
331,0,0,732936.427552000040000,4626851.668999999800000
332,0,0,732898.004700000050000,4626836.668999999800000
333,0,0,732838.004700000050000,4626746.668999999800000
334,0,0,732851.349427000040000,4626460.010060000200000
335,0,0,732940.558410999950000,4626308.232110000200000
336,0,0,732907.408996999960000,4626041.668999999800000
337,0,0,732932.677552000040000,4625838.462209999600000
338,0,0,732851.349427000040000,4625773.327940000200000
339,0,0,732824.659972999940000,4625650.010060000200000
340,0,0,732791.349427000040000,4625593.327940000200000
341,0,0,732764.659972999940000,4625500.010060000200000
342,0,0,732701.349427000040000,4625413.327940000200000
343,0,0,732652.980285999950000,4625244.145809999700000
344,0,0,732611.349427000040000,4625173.327940000200000
345,0,0,732584.659972999940000,4625050.010060000200000
346,0,0,732521.862121999960000,4624999.714650000400000
347,0,0,732508.004700000050000,4624826.668999999800000
348,0,0,732508.004700000050000,4624796.668999999800000
349,0,0,732478.004700000050000,4624796.668999999800000
350,0,0,732458.082825000050000,4624756.590870000400000
351,0,0,732448.004700000050000,4624616.668999999800000
352,0,0,732448.004700000050000,4624556.668999999800000
353,0,0,732448.004700000050000,4624526.668999999800000
354,0,0,732418.004700000050000,4624526.668999999800000
355,0,0,732437.384582999980000,4624215.878589999900000
356,0,0,732353.053528000020000,4624095.148000000000000
357,0,0,732341.217591000020000,4623896.668999999800000
358,0,0,732352.789855999990000,4623702.427059999700000
359,0,0,732268.004700000050000,4623626.668999999800000
360,0,0,732268.004700000050000,4623536.668999999800000
361,0,0,732288.453918999990000,4623373.038630000300000
362,0,0,732268.004700000050000,4623356.668999999800000
363,0,0,732268.004700000050000,4623236.668999999800000
364,0,0,732268.004700000050000,4623176.668999999800000
365,0,0,732238.004700000050000,4623176.668999999800000
366,0,0,732181.637513000050000,4623088.067929999900000
367,0,0,732214.391418999990000,4622824.681699999600000
368,0,0,732091.300597999940000,4622670.766900000200000
369,0,0,732127.335755000010000,4622381.046439999700000
370,0,0,732041.349427000040000,4622263.327940000200000
371,0,0,732007.892394999970000,4622146.334529999600000
372,0,0,731954.659972999940000,4622020.010060000200000
373,0,0,731861.349427000040000,4621903.327940000200000
374,0,0,731834.659972999940000,4621840.010060000200000
375,0,0,731721.354308999960000,4621698.330380000200000
376,0,0,731684.659972999940000,4621570.010060000200000
377,0,0,731621.349427000040000,4621483.327940000200000
378,0,0,731590.236144999970000,4621374.508360000300000
379,0,0,731518.004700000050000,4621316.668999999800000
380,0,0,731458.004700000050000,4621286.668999999800000
381,0,0,731443.986144999970000,4621129.132380000300000
382,0,0,731305.411927000040000,4621033.448789999800000
383,0,0,731265.758605999990000,4620878.922419999700000
384,0,0,731140.250793999990000,4620734.415579999800000
385,0,0,731115.758605999990000,4620638.922419999700000
386,0,0,731050.250793999990000,4620554.415579999800000
387,0,0,730978.253722999940000,4620428.266900000200000
388,0,0,730918.004700000050000,4620386.668999999800000
389,0,0,730918.004700000050000,4620356.668999999800000
390,0,0,730910.372864000030000,4620304.300839999700000
391,0,0,730865.636535999950000,4620259.037159999800000
392,0,0,730858.004700000050000,4620146.668999999800000
393,0,0,730847.926575000050000,4619946.747120000400000
394,0,0,730808.082825000050000,4619866.590870000400000
395,0,0,730798.004700000050000,4619816.668999999800000
396,0,0,730798.004700000050000,4619786.668999999800000
397,0,0,730798.004700000050000,4619726.668999999800000
398,0,0,730768.004700000050000,4619726.668999999800000
399,0,0,730782.389466000020000,4619476.982719999700000
400,0,0,730916.144347999940000,4619299.776909999500000
401,0,0,731051.071105999990000,4619199.739070000100000
402,0,0,731124.943177000040000,4619169.504689999900000
403,0,0,731158.004700000050000,4619126.668999999800000
404,0,0,731198.082825000050000,4619106.747130000000000
405,0,0,731340.992980999990000,4619084.562070000000000
406,0,0,731447.926575000050000,4618966.590870000400000
407,0,0,731458.004700000050000,4618676.668999999800000
408,0,0,731444.938293999990000,4618659.739070000100000
409,0,0,731411.071105999990000,4618633.598930000300000
410,0,0,731364.591614000030000,4618466.654350000400000
411,0,0,731133.864075000050000,4618288.562310000000000
412,0,0,731150.328918999990000,4618177.062070000000000
413,0,0,731013.351380000010000,4618071.325980000200000
414,0,0,730895.724427000040000,4617918.945609999800000
415,0,0,730802.604308999960000,4617847.062070000000000
416,0,0,730815.421692000000000,4617760.335989999600000
417,0,0,730721.071105999990000,4617643.598930000300000
418,0,0,730694.938293999990000,4617489.739070000100000
419,0,0,730631.071105999990000,4617403.598930000300000
420,0,0,730618.004700000050000,4617326.668999999800000
421,0,0,730648.004700000050000,4617326.668999999800000
422,0,0,730648.004700000050000,4617086.668999999800000
423,0,0,730625.944153000020000,4617025.178519999600000
424,0,0,730633.942200000050000,4616890.910939999900000
425,0,0,730543.854308999960000,4616810.410459999900000
426,0,0,730572.286927000040000,4616047.519829999700000
427,0,0,730640.988097999940000,4615986.139209999700000
428,0,0,730663.898255000010000,4615601.668999999800000
429,0,0,730652.179505000010000,4615405.108939999700000
430,0,0,730748.829894999970000,4615266.750790000000000
431,0,0,730753.898255000010000,4615181.668999999800000
432,0,0,730751.818177000040000,4615146.673879999700000
433,0,0,730813.854308999960000,4615032.511289999800000
434,0,0,730828.004700000050000,4614896.668999999800000
435,0,0,730808.976380000010000,4614744.328909999700000
436,0,0,730904.659972999940000,4614613.327940000200000
437,0,0,730918.004700000050000,4614536.668999999800000
438,0,0,730918.004700000050000,4614506.668999999800000
439,0,0,730918.004700000050000,4614476.668999999800000
440,0,0,730931.349427000040000,4614280.010060000200000
441,0,0,731017.335755000010000,4614162.291559999800000
442,0,0,730989.620910999950000,4613939.441220000400000
443,0,0,731084.659972999940000,4613863.327940000200000
444,0,0,731098.004700000050000,4613606.668999999800000
445,0,0,731078.082825000050000,4613566.590870000400000
446,0,0,731068.004700000050000,4613516.668999999800000
447,0,0,731196.002746999960000,4613442.873829999900000
448,0,0,731169.152160999950000,4613108.753960000400000
449,0,0,731282.633605999990000,4613010.986630000200000
