FID,fire1984_6,Area_Acres
0,1984BADGER,203.419229091999990
1,1984CATOI00000031,3512.438936640000100
2,1984RAIL,2014.718850629999900
3,1986CATOI00000029,788.707882602000040
4,1987ASSIST_PNF,611.282908234000050
5,1987BIG,256.588745012000000
6,1987CATOI00000119,2592.493229369999900
7,1987CLARK,12653.907359900000000
8,1987HIGHROCK,86.786084173899994
9,1987INDIAN,3826.104999740000000
10,1987LIGHTNING120,2136.290804020000000
11,1987LOST,12012.232248700000000
12,1987PALMER,481.094361092999970
13,1987QUAKING,1224.561484340000100
14,1988BURNEY,2305.622280409999800
15,1988LIGHTNING97,1924.623431320000000
16,1989EAGLE,2049.172455479999800
17,1989LAYMAN,1479.447763950000100
18,1989RACK,1399.958028040000000
19,1990CAMPBELL,1960.889796389999900
20,1990CROWDER_MTN,339.672717428999990
21,1990DAY,3718.178269219999900
22,1990FINLEY,880.324337843999960
23,1990WALKER,340.092276992999980
24,1992CLEVELAND,13178.047826200000000
25,1992FOUNTAIN,32844.620935300001000
26,1994BARKLEY,733.386463453000030
27,1994COTTONWOOD,21754.064527899998000
28,1994CRYSTAL,4100.436964139999900
29,1994DOYLE,680.095973658000050
30,1994HIRSCHDALE,258.846941628000020
31,1994KELSEY,467.296342713000000
32,1996AUTUMNHILLS,804.008130886000000
33,1996BELLI,459.523450286000010
34,1996COOKS,537.323473770999950
35,1996DAMON,321.925049765999970
36,1996DIXIE,723.196143660999950
37,1996HORSE,1764.389934880000100
38,1996MADDALENA,1061.204570460000000
39,1997HUFFER,484.018850928000010
40,1999BEAN_CREEK,201.656290094000010
41,1999BELL_WEST,219.197849851999990
42,1999BLOOMER,378.151716173000010
43,1999BUCKS,3589.366390950000100
44,1999DEVILSGAP,445.411630175000030
45,1999GUN2,1502.496167430000000
46,1999HORTON2,936.059764202999990
47,1999LOOKOUT,316.199736648999990
48,1999MUSTY,379.887966322000010
49,1999PENDOLA,4721.994818559999700
50,1999PIDGEN,431.406916351000010
51,1999PINE,819.392976678999960
52,1999YELLOW,21.561978266600001
53,2000GOAT,832.323210859000030
54,2000STORRIE,16211.136150400000000
55,2001BELL,1035.370431710000000
56,2001BLUE,14317.752528000001000
57,2001CLEAR,3.557687222500000
58,2001DEVIL,1987.731524520000000
59,2001GAP,1654.335465720000000
60,2001MARTIS,6888.024203629999600
61,2001POE,532.997112310000030
62,2001PONDEROSA,1016.289364080000000
63,2001ROCK,185.474502167999990
64,2001STAR,7813.763745539999900
65,2001STREAM,2385.173089569999800
66,2002CONE,990.788667381999970
67,2002PLUM,105.686264177000000
68,2003WHITMORE,857.186891919999990
69,2004BLUFF,273.306178968999970
